
NOTICE: Existing SQLite export found: /workspace/p305/nsys_v4final_node.sqlite
        It is assumed file was previously exported from: /workspace/p305/nsys_v4final_node.nsys-rep
        Consider using --force-export=true if needed.

Processing [/workspace/p305/nsys_v4final_node.sqlite] with [/opt/nvidia/nsight-systems/2024.2.3/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

+----------+-----------------+-----------+----------+----------+----------+----------+-------------+------------------------------------------------------------------------------------------------------+
| Time (%) | Total Time (ns) | Instances | Avg (ns) | Med (ns) | Min (ns) | Max (ns) | StdDev (ns) |                                                 Name                                                 |
|      0.3 |        11255491 |      7308 |   1540.2 |   1536.0 |     1344 |     1697 |        27.2 | void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __half, __half, float, __half, (bool)0, _… |
|      0.2 |         7756629 |       224 |  34627.8 |  34560.0 |    20128 |    36417 |      1052.6 | std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __half, float, float, float, (boo… |
|      0.2 |         7121289 |       335 |  21257.6 |  23905.0 |    11456 |    24832 |      5046.2 | redline::kernels::<unnamed>::GreedyArgmaxKernel(int *, const __half *, int, int)                     |
|      0.1 |         3286912 |      1820 |   1806.0 |   1792.0 |     1696 |     1952 |        35.5 | void redline::kernels::<unnamed>::KvGatherKernel<uint4>(__half *, __half *, long, long, long, long,… |
|      0.1 |         1810603 |        28 |  64664.4 |  64688.0 |    63680 |    65376 |       329.4 | void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_32x1_tn_align8>(T1::Params) |
|      0.0 |         1070535 |       335 |   3195.6 |   2624.0 |     2337 |     5888 |      1204.4 | redline::kernels::<unnamed>::RmsNormKernel(__half *, const __half *, const __half *, int, int, floa… |
|      0.0 |          891272 |       335 |   2660.5 |   1985.0 |     1856 |     5728 |      1338.7 | redline::kernels::<unnamed>::EmbedGatherHalf2Kernel(__half *, long, const __half *, const int *, in… |
|      0.0 |          600037 |         1 | 600037.0 | 600037.0 |   600037 |   600037 |         0.0 | void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_32x2_tn_align8>(T1::Params) |
|      0.0 |          507907 |         1 | 507907.0 | 507907.0 |   507907 |   507907 |         0.0 | void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_128x1_tn_align8>(T1::Param… |
|      0.0 |          290819 |       224 |   1298.3 |   1312.0 |     1279 |     1344 |        17.0 | void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __half, float, __half, (bool)0, __… |
|      0.0 |          197954 |        28 |   7069.8 |   7072.0 |     6944 |     7168 |        49.2 | void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_64x2_tn_align8>(T1::Params) |
+----------+-----------------+-----------+----------+----------+----------+----------+-------------+------------------------------------------------------------------------------------------------------+

